TCI,HydroGp,Transect,Species,Year,time,mTCI
9,Group 3,7,BB,2016,-0.5,0.42
11,Group 3,7,BB,2018,1.5,0.72
9,Group 3,7,BB,2015,-1.5,0.42
9,Group 3,7,BB,2016,-0.5,0.42
12,Group 3,7,BB,2018,1.5,0.7225
11,Group 3,7,BB,2015,-1.5,0.567
11,Group 3,7,BB,2016,-0.5,0.567
11,Group 3,7,BB,2018,1.5,0.72
7,Group 3,7,BB,2016,-0.5,0.24
8,Group 2,10,BB,2015,-1.5,0.36
8,Group 2,10,BB,2016,-0.5,0.36
10,Group 2,10,BB,2018,1.5,0.5625
7,Group 2,10,BB,2015,-1.5,0.2
7,Group 2,10,BB,2016,-0.5,0.2
9,Group 2,10,BB,2018,1.5,0.4125
6,Group 2,10,BB,2015,-1.5,0.12
6,Group 2,10,BB,2016,-0.5,0.12
10,Group 2,10,BB,2018,1.5,0.49
8,Group 2,10,BB,2015,-1.5,0.3
8,Group 2,10,BB,2016,-0.5,0.3
10,Group 2,10,BB,2018,1.5,0.5625
7,Group 2,10,BB,2015,-1.5,0.14
7,Group 2,10,BB,2016,-0.5,0.14
10,Group 2,10,BB,2018,1.5,0.5625
9,Group 2,10,BB,2015,-1.5,0.35
9,Group 2,10,BB,2016,-0.5,0.35
10,Group 2,10,BB,2018,1.5,0.56
7,Group 2,10,BB,2015,-1.5,0.24
10,Group 2,19,BB,2018,1.5,0.6
10,Group 2,19,BB,2015,-1.5,0.525
10,Group 2,19,BB,2016,-0.5,0.525
10,Group 2,19,BB,2018,1.5,0.64
10,Group 2,19,BB,2015,-1.5,0.52
10,Group 2,19,BB,2016,-0.5,0.52
12,Group 2,19,BB,2018,1.5,0.7225
8,Group 2,19,BB,2015,-1.5,0.1681
8,Group 2,19,BB,2016,-0.5,0.1681
10,Group 2,19,BB,2018,1.5,0.6
10,Group 2,19,BB,2015,-1.5,0.525
10,Group 2,19,BB,2016,-0.5,0.525
11,Group 2,19,BB,2018,1.5,0.68
10,Group 2,19,BB,2015,-1.5,0.525
10,Group 2,19,BB,2016,-0.5,0.525
10,Group 2,19,BB,2018,1.5,0.6
9,Group 2,19,BB,2015,-1.5,0.42
9,Group 2,19,BB,2016,-0.5,0.42
11,Group 2,19,BB,2018,1.5,0.68
12,Group 2,19,BB,2018,1.5,0.7225
11,Group 2,19,BB,2015,-1.5,0.595
11,Group 2,19,BB,2016,-0.5,0.595
11,Group 2,19,BB,2015,-1.5,0.5265
11,Group 2,19,BB,2016,-0.5,0.5265
11,Group 2,19,BB,2018,1.5,0.68
10,Group 2,19,BB,2015,-1.5,0.525
10,Group 2,19,BB,2016,-0.5,0.525
10,Group 2,19,BB,2018,1.5,0.6
10,Group 2,19,BB,2015,-1.5,0.49
10,Group 2,19,BB,2016,-0.5,0.49
11,Group 2,19,BB,2018,1.5,0.68
5,Group 2,19,BB,2015,-1.5,0.05
5,Group 2,19,BB,2016,-0.5,0.05
10,Group 2,19,BB,2018,1.5,0.4675
7,Group 2,19,BB,2015,-1.5,0.18
7,Group 2,19,BB,2016,-0.5,0.18
10,Group 2,19,BB,2018,1.5,0.5625
5,Group 2,19,BB,2015,-1.5,0.06
5,Group 2,19,BB,2016,-0.5,0.06
11,Group 2,19,BB,2018,1.5,0.68
6,Group 2,19,BB,2015,-1.5,0.09
6,Group 2,19,BB,2016,-0.5,0.09
9,Group 2,19,BB,2018,1.5,0.4
6,Group 2,19,BB,2015,-1.5,0.09
6,Group 2,19,BB,2016,-0.5,0.09
10,Group 2,19,BB,2018,1.5,0.56
7,Group 2,19,BB,2015,-1.5,0.18
7,Group 2,19,BB,2016,-0.5,0.18
11,Group 2,19,BB,2018,1.5,0.68
8,Group 2,19,BB,2015,-1.5,0.3
8,Group 2,19,BB,2016,-0.5,0.3
10,Group 2,19,BB,2018,1.5,0.6
8,Group 2,19,BB,2015,-1.5,0.205
8,Group 2,19,BB,2016,-0.5,0.205
11,Group 2,19,BB,2018,1.5,0.68
6,Group 2,19,BB,2015,-1.5,0.09
6,Group 2,19,BB,2016,-0.5,0.09
10,Group 2,19,BB,2018,1.5,0.56
6,Group 2,19,BB,2015,-1.5,0.12
6,Group 2,19,BB,2016,-0.5,0.12
11,Group 2,19,BB,2018,1.5,0.675
7,Group 2,19,BB,2015,-1.5,0.18
7,Group 2,19,BB,2016,-0.5,0.18
11,Group 2,19,BB,2018,1.5,0.675
7,Group 2,19,BB,2015,-1.5,0.15
7,Group 2,19,BB,2016,-0.5,0.15
11,Group 2,19,BB,2018,1.5,0.6375
8,Group 2,19,BB,2015,-1.5,0.205
8,Group 2,19,BB,2016,-0.5,0.205
11,Group 2,19,BB,2018,1.5,0.68
10,Group 2,19,BB,2015,-1.5,0.3721
10,Group 2,19,BB,2016,-0.5,0.3721
12,Group 2,19,BB,2018,1.5,0.7225
6,Group 2,19,BB,2015,-1.5,0.12
6,Group 2,19,BB,2016,-0.5,0.12
10,Group 2,19,BB,2018,1.5,0.6
7,Group 2,19,BB,2015,-1.5,0.18
7,Group 2,19,BB,2016,-0.5,0.18
10,Group 2,19,BB,2018,1.5,0.6
6,Group 2,19,BB,2015,-1.5,0.09
6,Group 2,19,BB,2016,-0.5,0.09
10,Group 2,19,BB,2018,1.5,0.5625
14,Group 5,18,RRG,2015,-1.5,0.91
14,Group 5,18,RRG,2016,-0.5,0.91
11,Group 5,18,RRG,2015,-1.5,0.5
11,Group 5,18,RRG,2016,-0.5,0.5
12,Group 5,18,RRG,2015,-1.5,0.637
12,Group 5,18,RRG,2016,-0.5,0.637
11,Group 5,18,RRG,2018,1.5,0.63
12,Group 5,18,RRG,2018,1.5,0.665
14,Group 5,18,RRG,2015,-1.5,0.91
14,Group 5,18,RRG,2016,-0.5,0.91
14,Group 5,18,RRG,2015,-1.5,0.91
14,Group 5,18,RRG,2016,-0.5,0.91
12,Group 5,18,RRG,2018,1.5,0.7225
13,Group 5,18,RRG,2015,-1.5,0.81
13,Group 5,18,RRG,2016,-0.5,0.81
13,Group 5,18,RRG,2015,-1.5,0.7371
13,Group 5,18,RRG,2016,-0.5,0.7371
12,Group 5,18,RRG,2018,1.5,0.8
13,Group 5,18,RRG,2015,-1.5,0.9
13,Group 5,18,RRG,2016,-0.5,0.9
8,Group 5,18,RRG,2018,1.5,0.3
13,Group 5,18,RRG,2015,-1.5,0.81
13,Group 5,18,RRG,2016,-0.5,0.81
12,Group 5,18,RRG,2018,1.5,0.76
13,Group 5,18,RRG,2015,-1.5,0.81
13,Group 5,18,RRG,2016,-0.5,0.81
9,Group 5,18,RRG,2018,1.5,0.35
13,Group 5,18,RRG,2015,-1.5,0.7371
13,Group 5,18,RRG,2016,-0.5,0.7371
12,Group 5,18,RRG,2018,1.5,0.7125
13,Group 5,18,RRG,2015,-1.5,0.7371
13,Group 5,18,RRG,2016,-0.5,0.7371
11,Group 5,18,RRG,2018,1.5,0.675
13,Group 5,18,RRG,2015,-1.5,0.7371
13,Group 5,18,RRG,2016,-0.5,0.7371
12,Group 5,18,RRG,2018,1.5,0.665
13,Group 5,18,RRG,2015,-1.5,0.7371
13,Group 5,18,RRG,2016,-0.5,0.7371
12,Group 5,18,RRG,2018,1.5,0.665
11,Group 5,18,RRG,2015,-1.5,0.546
11,Group 5,18,RRG,2016,-0.5,0.546
12,Group 5,18,RRG,2018,1.5,0.7125
12,Group 5,18,RRG,2015,-1.5,0.637
12,Group 5,18,RRG,2016,-0.5,0.637
11,Group 5,18,RRG,2018,1.5,0.675
12,Group 5,18,RRG,2015,-1.5,0.6825
12,Group 5,18,RRG,2016,-0.5,0.6825
12,Group 5,18,RRG,2018,1.5,0.7125
13,Group 5,18,RRG,2015,-1.5,0.9
13,Group 5,18,RRG,2016,-0.5,0.9
12,Group 5,18,RRG,2018,1.5,0.665
11,Group 5,18,RRG,2016,-0.5,0.63
10,Group 5,18,RRG,2018,1.5,0.49
11,Group 5,18,RRG,2015,-1.5,0.63
8,Group 5,18,RRG,2015,-1.5,0.36
8,Group 5,18,RRG,2016,-0.5,0.36
13,Group 5,18,RRG,2018,1.5,0.8075
12,Group 5,18,RRG,2015,-1.5,0.637
12,Group 5,18,RRG,2016,-0.5,0.637
12,Group 5,18,RRG,2018,1.5,0.7225
14,Group 5,18,RRG,2015,-1.5,0.8281
14,Group 5,18,RRG,2016,-0.5,0.8281
11,Group 5,18,RRG,2018,1.5,0.72
11,Group 5,18,RRG,2015,-1.5,0.675
11,Group 5,18,RRG,2016,-0.5,0.675
12,Group 5,18,RRG,2018,1.5,0.7125
13,Group 5,18,RRG,2015,-1.5,0.819
13,Group 5,18,RRG,2016,-0.5,0.819
11,Group 5,18,RRG,2015,-1.5,0.63
11,Group 5,18,RRG,2016,-0.5,0.63
12,Group 5,18,RRG,2018,1.5,0.76
10,Group 5,18,RRG,2015,-1.5,0.45
10,Group 5,18,RRG,2016,-0.5,0.45
12,Group 5,18,RRG,2018,1.5,0.665
11,Group 5,18,RRG,2015,-1.5,0.675
11,Group 5,18,RRG,2016,-0.5,0.675
12,Group 5,18,RRG,2018,1.5,0.7125
7,Group 5,18,RRG,2015,-1.5,0.164
7,Group 5,18,RRG,2016,-0.5,0.164
10,Group 5,18,RRG,2018,1.5,0.51
10,Group 5,18,RRG,2015,-1.5,0.49
10,Group 5,18,RRG,2016,-0.5,0.49
10,Group 5,18,RRG,2018,1.5,0.64
11,Group 5,18,RRG,2015,-1.5,0.6075
11,Group 5,18,RRG,2016,-0.5,0.6075
13,Group 5,18,RRG,2018,1.5,0.8075
9,Group 1,2,BB,2015,-1.5,0.35
9,Group 1,2,BB,2016,-0.5,0.35
12,Group 1,2,BB,2018,1.5,0.7225
11,Group 1,2,BB,2015,-1.5,0.6375
11,Group 1,2,BB,2016,-0.5,0.6375
13,Group 1,2,BB,2018,1.5,0.8075
9,Group 1,2,BB,2015,-1.5,0.42
9,Group 1,2,BB,2016,-0.5,0.42
13,Group 1,2,BB,2018,1.5,0.8075
7,Group 1,2,BB,2015,-1.5,0.24
7,Group 1,2,BB,2016,-0.5,0.24
11,Group 1,2,BB,2018,1.5,0.68
11,Group 1,2,BB,2015,-1.5,0.6075
11,Group 1,2,BB,2016,-0.5,0.6075
12,Group 1,2,BB,2018,1.5,0.81
10,Group 1,2,BB,2015,-1.5,0.486
10,Group 1,2,BB,2016,-0.5,0.486
12,Group 1,2,BB,2018,1.5,0.765
7,Group 1,2,BB,2015,-1.5,0.15
7,Group 1,2,BB,2016,-0.5,0.15
11,Group 1,2,BB,2018,1.5,0.68
7,Group 1,2,BB,2015,-1.5,0.24
7,Group 1,2,BB,2016,-0.5,0.24
11,Group 1,2,BB,2018,1.5,0.72
9,Group 1,2,BB,2015,-1.5,0.35
9,Group 1,2,BB,2016,-0.5,0.35
13,Group 1,2,BB,2018,1.5,0.855
11,Group 1,2,BB,2015,-1.5,0.546
11,Group 1,2,BB,2016,-0.5,0.546
13,Group 1,2,BB,2018,1.5,0.8075
7,Group 1,2,BB,2015,-1.5,0.2
7,Group 1,2,BB,2016,-0.5,0.2
11,Group 1,2,BB,2018,1.5,0.68
7,Group 1,2,BB,2015,-1.5,0.123
7,Group 1,2,BB,2016,-0.5,0.123
11,Group 1,2,BB,2018,1.5,0.6375
11,Group 1,2,BB,2015,-1.5,0.546
11,Group 1,2,BB,2016,-0.5,0.546
13,Group 1,2,BB,2018,1.5,0.8075
10,Group 1,2,BB,2015,-1.5,0.405
10,Group 1,2,BB,2016,-0.5,0.405
11,Group 1,2,BB,2018,1.5,0.72
12,Group 1,2,BB,2015,-1.5,0.6825
12,Group 1,2,BB,2016,-0.5,0.6825
12,Group 1,2,BB,2018,1.5,0.76
7,Group 1,2,BB,2015,-1.5,0.2
7,Group 1,2,BB,2016,-0.5,0.2
11,Group 1,2,BB,2018,1.5,0.68
6,Group 1,2,BB,2015,-1.5,0.12
6,Group 1,2,BB,2016,-0.5,0.12
12,Group 1,2,BB,2018,1.5,0.765
4,Group 1,2,BB,2015,-1.5,0.04
4,Group 1,2,BB,2016,-0.5,0.04
10,Group 1,2,BB,2018,1.5,0.56
3,Group 1,2,BB,2015,-1.5,0.02
3,Group 1,2,BB,2016,-0.5,0.02
9,Group 1,2,BB,2018,1.5,0.4125
5,Group 1,2,BB,2015,-1.5,0.08
5,Group 1,2,BB,2016,-0.5,0.08
9,Group 1,2,BB,2018,1.5,0.36
6,Group 1,2,BB,2015,-1.5,0.1
6,Group 1,2,BB,2016,-0.5,0.1
11,Group 1,2,BB,2018,1.5,0.68
8,Group 1,2,BB,2015,-1.5,0.21
8,Group 1,2,BB,2016,-0.5,0.21
10,Group 1,2,BB,2018,1.5,0.6
7,Group 1,2,BB,2015,-1.5,0.18
7,Group 1,2,BB,2016,-0.5,0.18
11,Group 1,2,BB,2018,1.5,0.68
5,Group 1,2,BB,2015,-1.5,0.06
5,Group 1,2,BB,2016,-0.5,0.06
10,Group 1,2,BB,2018,1.5,0.6
9,Group 1,15,BB,2015,-1.5,0.42
9,Group 1,15,BB,2016,-0.5,0.42
10,Group 1,15,BB,2018,1.5,0.64
9,Group 1,15,BB,2015,-1.5,0.3075
9,Group 1,15,BB,2016,-0.5,0.3075
11,Group 1,15,BB,2018,1.5,0.6375
8,Group 1,15,BB,2015,-1.5,0.3
8,Group 1,15,BB,2016,-0.5,0.3
11,Group 1,15,BB,2018,1.5,0.68
8,Group 1,15,BB,2015,-1.5,0.21
8,Group 1,15,BB,2016,-0.5,0.21
10,Group 1,15,BB,2018,1.5,0.6
8,Group 1,15,BB,2015,-1.5,0.21
8,Group 1,15,BB,2016,-0.5,0.21
11,Group 1,15,BB,2018,1.5,0.6375
8,Group 1,15,BB,2015,-1.5,0.246
8,Group 1,15,BB,2016,-0.5,0.246
10,Group 1,15,BB,2018,1.5,0.64
9,Group 1,15,BB,2015,-1.5,0.45
9,Group 1,15,BB,2016,-0.5,0.45
11,Group 1,15,BB,2018,1.5,0.5525
10,Group 1,15,BB,2015,-1.5,0.486
10,Group 1,15,BB,2016,-0.5,0.486
11,Group 1,15,BB,2018,1.5,0.675
8,Group 1,15,BB,2015,-1.5,0.3
8,Group 1,15,BB,2016,-0.5,0.3
11,Group 1,15,BB,2018,1.5,0.68
10,Group 1,15,BB,2015,-1.5,0.486
10,Group 1,15,BB,2016,-0.5,0.486
12,Group 1,15,BB,2018,1.5,0.7225
9,Group 1,15,BB,2015,-1.5,0.3075
9,Group 1,15,BB,2016,-0.5,0.3075
11,Group 1,15,BB,2018,1.5,0.68
4,Group 1,15,BB,2015,-1.5,0.04
4,Group 1,15,BB,2016,-0.5,0.04
6,Group 1,15,BB,2015,-1.5,0.12
6,Group 1,15,BB,2016,-0.5,0.12
8,Group 1,15,BB,2018,1.5,0.21
7,Group 1,15,BB,2015,-1.5,0.2
7,Group 1,15,BB,2016,-0.5,0.2
10,Group 1,15,BB,2018,1.5,0.6
8,Group 1,15,BB,2015,-1.5,0.162
8,Group 1,15,BB,2016,-0.5,0.162
11,Group 1,15,BB,2018,1.5,0.6375
10,Group 1,15,BB,2015,-1.5,0.405
10,Group 1,15,BB,2016,-0.5,0.405
10,Group 1,15,BB,2018,1.5,0.6
10,Group 1,15,BB,2015,-1.5,0.405
10,Group 1,15,BB,2016,-0.5,0.405
10,Group 1,15,BB,2018,1.5,0.6
5,Group 1,15,BB,2015,-1.5,0.06
5,Group 1,15,BB,2016,-0.5,0.06
9,Group 1,15,BB,2015,-1.5,0.42
9,Group 1,15,BB,2016,-0.5,0.42
10,Group 1,15,BB,2018,1.5,0.64
4,Group 1,15,BB,2015,-1.5,0.03
4,Group 1,15,BB,2016,-0.5,0.03
9,Group 1,15,BB,2018,1.5,0.375
7,Group 1,15,BB,2015,-1.5,0.2
7,Group 1,15,BB,2016,-0.5,0.2
11,Group 1,15,BB,2018,1.5,0.6375
7,Group 1,15,BB,2015,-1.5,0.15
7,Group 1,15,BB,2016,-0.5,0.15
11,Group 1,15,BB,2018,1.5,0.6375
6,Group 1,15,BB,2015,-1.5,0.12
6,Group 1,15,BB,2016,-0.5,0.12
10,Group 1,15,BB,2018,1.5,0.6
6,Group 1,15,BB,2015,-1.5,0.12
6,Group 1,15,BB,2016,-0.5,0.12
10,Group 1,15,BB,2018,1.5,0.49
9,Group 1,15,BB,2015,-1.5,0.35
9,Group 1,15,BB,2016,-0.5,0.35
11,Group 1,15,BB,2018,1.5,0.6375
5,Group 1,15,BB,2015,-1.5,0.05
5,Group 1,15,BB,2016,-0.5,0.05
10,Group 1,15,BB,2018,1.5,0.525
6,Group 1,15,BB,2015,-1.5,0.12
6,Group 1,15,BB,2016,-0.5,0.12
10,Group 1,15,BB,2018,1.5,0.6
10,Group 1,15,BB,2015,-1.5,0.3321
10,Group 1,15,BB,2016,-0.5,0.3321
12,Group 1,15,BB,2018,1.5,0.7125
10,Group 1,15,BB,2015,-1.5,0.3321
10,Group 1,15,BB,2016,-0.5,0.3321
11,Group 1,15,BB,2018,1.5,0.675
6,Group 1,15,BB,2015,-1.5,0.16
6,Group 1,15,BB,2016,-0.5,0.16
10,Group 1,15,BB,2018,1.5,0.6
